library,function,line,file
facets_overview.generic_feature_statistics_generator.GenericFeatureStatisticsGenerator,GenericFeatureStatisticsGenerator,220,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\runners\interactive\display\pcoll_visualization.py
captum.attr.LayerIntegratedGradients,LayerIntegratedGradients,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
captum.attr.visualization.VisualizationDataRecord,viz.VisualizationDataRecord,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
captum.attr.visualization.visualize_text,viz.visualize_text,106,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,419,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\.ipynb_checkpoints\Final_project_updated-checkpoint.py
fairml.audit_model,audit_model,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\FairML.py
fairml.plot_dependencies,plot_dependencies,53,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\FairML.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,446,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_Model.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,433,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_project_updated.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,472,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_project_updated_Encodings.py
fairml.audit_model,audit_model,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\FairML.py
fairml.plot_dependencies,plot_dependencies,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\FairML.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,525,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,508,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,553,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated_Encodings.py
aequitas.bias.Bias,Bias,28,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\funciones_bias.py
funciones_bias.MetricasBiasFairness,funciones_bias.MetricasBiasFairness,1555,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\modelado_pipeline.py
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py
tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,146,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py
tensorflow_privacy.privacy.analysis.gdp_accountant.compute_mu_poisson,compute_mu_poisson,148,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py
