,library,function,line,file
0,facets_overview.generic_feature_statistics_generator.GenericFeatureStatisticsGenerator,GenericFeatureStatisticsGenerator,220,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\runners\interactive\display\pcoll_visualization.py
10,captum.attr.LayerIntegratedGradients,LayerIntegratedGradients,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
11,captum.attr.visualization.VisualizationDataRecord,viz.VisualizationDataRecord,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
12,captum.attr.visualization.visualize_text,viz.visualize_text,106,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
13,yellowbrick.features.pca.PCADecomposition,PCADecomposition,419,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\.ipynb_checkpoints\Final_project_updated-checkpoint.py
14,fairml.audit_model,audit_model,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\FairML.py
15,fairml.plot_dependencies,plot_dependencies,53,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\FairML.py
16,yellowbrick.features.pca.PCADecomposition,PCADecomposition,446,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_Model.py
17,yellowbrick.features.pca.PCADecomposition,PCADecomposition,433,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_project_updated.py
18,yellowbrick.features.pca.PCADecomposition,PCADecomposition,472,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_project_updated_Encodings.py
19,fairml.audit_model,audit_model,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\FairML.py
20,fairml.plot_dependencies,plot_dependencies,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\FairML.py
21,yellowbrick.features.pca.PCADecomposition,PCADecomposition,525,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
22,yellowbrick.features.pca.PCADecomposition,PCADecomposition,508,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated.py
23,yellowbrick.features.pca.PCADecomposition,PCADecomposition,553,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated_Encodings.py
24,aequitas.bias.Bias,Bias,28,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\funciones_bias.py
25,funciones_bias.MetricasBiasFairness,funciones_bias.MetricasBiasFairness,1555,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\modelado_pipeline.py
40,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py
41,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,146,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py
42,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_mu_poisson,compute_mu_poisson,148,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py
44,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py
45,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,146,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py
46,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_mu_poisson,compute_mu_poisson,148,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py
60,tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy,46,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy.py
61,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,25,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py
62,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,27,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py
63,tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,21,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_test.py
64,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,74,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py
65,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,80,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py
66,tensorflow_privacy.privacy.analysis.privacy_ledger.PrivacyLedger,privacy_ledger.PrivacyLedger,23,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
67,tensorflow_privacy.privacy.analysis.privacy_ledger.PrivacyLedger,privacy_ledger.PrivacyLedger,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
68,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
69,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,49,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
70,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
71,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,67,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
72,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,83,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
73,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,85,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
74,tensorflow_privacy.privacy.dp_query.nested_query.NestedQuery,nested_query.NestedQuery,88,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
75,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,89,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
76,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,98,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
77,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,110,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py
78,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_heterogenous_rdp,rdp_accountant.compute_heterogenous_rdp,74,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
79,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,80,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
80,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,84,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
81,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,87,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
