title,body
can i get sample dataset?,
Misleading graphs for RNN network Dataset 2,The graphs for the accuracy and loss rates for RNN results for dataset 2 do not have the same scale as the CNN and HAN results. The non-matching scaling factor causes the RNN graphs to indicate higher accuracy than they should when visually compared with the CNN and HAN graphs.
predict,I have already trained and got a model. How to predict for a new data now?
Typo in CNN.ipynb,"    for idx in range(data_train.message.shape[0]):
        text = BeautifulSoup(data_train.message[idx])
        texts.append(clean_str(str(text.get_text().encode())))
    
    for idx in data_train['class']:
        labels.append(idx)

Should be:
    
    for idx in range(df.message.shape[0]):
        text = BeautifulSoup(df.message[idx])
        texts.append(clean_str(str(text.get_text().encode())))
    
    for idx in df['class']:
        labels.append(idx)

(In the CNN code)"
Data Sample,"Hi, 

Cane we please have a sample of the data that you pushed into it?"
Create requirements.txt,Basic file for easier cloning and running the repo
data_train in CNN.ipynb,"Line 5 of block 6 has a variable data_train which comes out of blue.

Please see if it is the case of missing block of naming inconsistency.

Thanks
R"
Share datasets,"Hello, this report so cool. I never imagined that CNN have great results on text classification. I wanna to try reproduce and maybe add other parameters like dropout to make more accurate, can you share the datasets? or script for scrapping datasets?

Thank you for your great explanation too on your blog!"
update pvrecorder,
update c demo test,
.NET 2 support fix,
Cross-platform updates,
.NET version correction release,
Fix .NET versioning,
android test app,
Cheetah Issue: ,"Hi, I am trying to use the cheetah streaming with microphone option.
I am trying to use the cheetah.process, and the requested format is:

:param pcm: A frame of audio samples. The number of samples per frame can be attained by calling
        `.frame_length`. The incoming audio needs to have a sample rate equal to `.sample_rate` and be 16-bit
        linearly-encoded. Furthermore, Cheetah operates on single-channel audio.

how can I live stream an audio that will answer the requirements?
I am using python, and I tried PyAudio but was not successful.
I will appreciate help and examples from someone who managed to do so.

Thanks!
"
React native vp updates,"Just the demo, so no release necessary"
Acoustic Echo Cancellation,"**Is your feature request related to a problem? Please describe.**
If I am playing back synthesized voice and I am also listening to the microphone with Cheetah, I will get the synth content transcribed by cheetah.  I have been looking into Acoustic Echo Cancellation to get around this.  Before I implement something with say SpeexDSP I thought it is worth asking if there is a feature from Picovoice that will accomplish this?

**Describe the solution you'd like**
If Cheetah has integrated AEC that would be ideal.  Alternatively there is a filter or something like it that I could insert into the TargetDataLine (I am using Java API) before passing to Cheetah.

**Describe alternatives you've considered**
I've considered implementing my own AEC with SpeexDSP.  It is a C library so I would need to understand Speex itself, C and JNI to do this.  It is possible, but if it is an already solved problem then I would prefer to go that route..

**Additional context**
If there is another alternative I would be interested to learn of it.  I know that Android platform has Java version of AEC but I am not sure if that will work in generic Java environment.  I also understand ByteDance has a solution however it is proprietary and I am not sure how to evaluate..  
"
Cheetah Issue: pvcheetah._cheetah.CheetahActivationError,"Make sure you have read the documentation, and have put forth a reasonable effort to find an existing answer.

### Expected behaviour

Starts Fine

### Actual behaviour

Errors with pvcheetah._cheetah.CheetahActivationError

### Steps to reproduce the behaviour

Enter startup code
Run program
Error Appears
(Include enough details so that the issue can be reproduced independently.)
"
Update demo with new flutter vp v1.1,
Cheetah custom models unavailable,"Hello is there any update on this ? 

![image](https://github.com/Picovoice/cheetah/assets/64015162/6ed42881-88cf-41e8-9798-407bdf617e7e)


"
iOS demo updates,
Cheetah + Eagle,"**Is your feature request related to a problem? Please describe.**
I want to identify people speaking in live transcriptions. However, I can't find a way to correlate the output of Eagle (https://picovoice.ai/docs/api/eagle-web/) with the output of Cheetah because Cheetah is async (no correlation of output to the input frame), whereas Eagle gives one-to-one results correlated with input audio frame.

**Describe the solution you'd like**
Any way of making Eagle work with Cheetah.

Perhaps timestamps in Cheetah output so I can correlate the results myself, or direct integration of Eagle into Cheetah. Or at minimum, a specific awaitable sync API that I can use to process an audio frame, like Eagle has:

```
async function process(pcm: Int16Array): Promise<number[]>
```

Though for Cheetah, it could be:
```
async function process(pcm: Int16Array): Promise<string>
```

Even just THAT would be enough...can we get an async `process` call?

**Describe alternatives you've considered**
`whisper.cpp` 

**Additional context**
N/A
"
flutter tests,
change how deatched wasm memory is handled,
Bump word-wrap from 1.2.3 to 1.2.4 in /binding/react-native,"Bumps [word-wrap](https://github.com/jonschlinkert/word-wrap) from 1.2.3 to 1.2.4.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/jonschlinkert/word-wrap/releases"">word-wrap's releases</a>.</em></p>
<blockquote>
<h2>1.2.4</h2>
<h2>What's Changed</h2>
<ul>
<li>Remove default indent by <a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li>🔒fix: CVE 2023 26115 (2) by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li>:lock: fix: CVE-2023-26115 by <a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
<li>chore: publish workflow by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/42"">jonschlinkert/word-wrap#42</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li><a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li><a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/f64b188c7261d26b99e1e2075d6b12f21798e83a""><code>f64b188</code></a> run verb to generate README</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/03ea08256ba0c8e8b02b1b304f0f5bd2b1863207""><code>03ea082</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/42"">#42</a> from jonschlinkert/chore/publish-workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/420dce9a2412b21881202b73a3c34f0edc53cb2e""><code>420dce9</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/41"">#41</a> from jonschlinkert/fix/CVE-2023-26115-2</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/bfa694edf55bb84ff84512f13da6d68bf7593f06""><code>bfa694e</code></a> Update .github/workflows/publish.yml</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/ace0b3c78f81aaf43040bab3bc91d3c5546d3fd2""><code>ace0b3c</code></a> chore: bump version to 1.2.4</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/6fd727594676f3e1b196b08a320908bec2f4ca02""><code>6fd7275</code></a> chore: add publish workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/30d6daf60fce429f5f559252fa86ee78200652c4""><code>30d6daf</code></a> chore: fix test</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/655929cabea6299dddf3b4a21fc3713fca701b48""><code>655929c</code></a> chore: remove package-lock</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/49e08bbc32a84da5d79e6b7e0fa74ff6217f6d81""><code>49e08bb</code></a> chore: added an additional testcase</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/9f626935f3fac6ec0f3c4b26baea4eb9740d9645""><code>9f62693</code></a> fix: cve 2023-26115</li>
<li>Additional commits viewable in <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=word-wrap&package-manager=npm_and_yarn&previous-version=1.2.3&new-version=1.2.4)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/Picovoice/cheetah/network/alerts).

</details>"
Bump word-wrap from 1.2.3 to 1.2.4 in /demo/react-native,"Bumps [word-wrap](https://github.com/jonschlinkert/word-wrap) from 1.2.3 to 1.2.4.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/jonschlinkert/word-wrap/releases"">word-wrap's releases</a>.</em></p>
<blockquote>
<h2>1.2.4</h2>
<h2>What's Changed</h2>
<ul>
<li>Remove default indent by <a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li>🔒fix: CVE 2023 26115 (2) by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li>:lock: fix: CVE-2023-26115 by <a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
<li>chore: publish workflow by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/42"">jonschlinkert/word-wrap#42</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li><a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li><a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/f64b188c7261d26b99e1e2075d6b12f21798e83a""><code>f64b188</code></a> run verb to generate README</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/03ea08256ba0c8e8b02b1b304f0f5bd2b1863207""><code>03ea082</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/42"">#42</a> from jonschlinkert/chore/publish-workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/420dce9a2412b21881202b73a3c34f0edc53cb2e""><code>420dce9</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/41"">#41</a> from jonschlinkert/fix/CVE-2023-26115-2</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/bfa694edf55bb84ff84512f13da6d68bf7593f06""><code>bfa694e</code></a> Update .github/workflows/publish.yml</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/ace0b3c78f81aaf43040bab3bc91d3c5546d3fd2""><code>ace0b3c</code></a> chore: bump version to 1.2.4</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/6fd727594676f3e1b196b08a320908bec2f4ca02""><code>6fd7275</code></a> chore: add publish workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/30d6daf60fce429f5f559252fa86ee78200652c4""><code>30d6daf</code></a> chore: fix test</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/655929cabea6299dddf3b4a21fc3713fca701b48""><code>655929c</code></a> chore: remove package-lock</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/49e08bbc32a84da5d79e6b7e0fa74ff6217f6d81""><code>49e08bb</code></a> chore: added an additional testcase</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/9f626935f3fac6ec0f3c4b26baea4eb9740d9645""><code>9f62693</code></a> fix: cve 2023-26115</li>
<li>Additional commits viewable in <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=word-wrap&package-manager=npm_and_yarn&previous-version=1.2.3&new-version=1.2.4)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/Picovoice/cheetah/network/alerts).

</details>"
Bump word-wrap from 1.2.3 to 1.2.4 in /binding/react-native/test-app/CheetahTestApp,"[//]: # (dependabot-start)
⚠️  **Dependabot is rebasing this PR** ⚠️ 

Rebasing might not happen immediately, so don't worry if this takes some time.

Note: if you make any changes to this PR yourself, they will take precedence over the rebase.

---

[//]: # (dependabot-end)

Bumps [word-wrap](https://github.com/jonschlinkert/word-wrap) from 1.2.3 to 1.2.4.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/jonschlinkert/word-wrap/releases"">word-wrap's releases</a>.</em></p>
<blockquote>
<h2>1.2.4</h2>
<h2>What's Changed</h2>
<ul>
<li>Remove default indent by <a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li>🔒fix: CVE 2023 26115 (2) by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li>:lock: fix: CVE-2023-26115 by <a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
<li>chore: publish workflow by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/42"">jonschlinkert/word-wrap#42</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li><a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li><a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/f64b188c7261d26b99e1e2075d6b12f21798e83a""><code>f64b188</code></a> run verb to generate README</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/03ea08256ba0c8e8b02b1b304f0f5bd2b1863207""><code>03ea082</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/42"">#42</a> from jonschlinkert/chore/publish-workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/420dce9a2412b21881202b73a3c34f0edc53cb2e""><code>420dce9</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/41"">#41</a> from jonschlinkert/fix/CVE-2023-26115-2</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/bfa694edf55bb84ff84512f13da6d68bf7593f06""><code>bfa694e</code></a> Update .github/workflows/publish.yml</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/ace0b3c78f81aaf43040bab3bc91d3c5546d3fd2""><code>ace0b3c</code></a> chore: bump version to 1.2.4</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/6fd727594676f3e1b196b08a320908bec2f4ca02""><code>6fd7275</code></a> chore: add publish workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/30d6daf60fce429f5f559252fa86ee78200652c4""><code>30d6daf</code></a> chore: fix test</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/655929cabea6299dddf3b4a21fc3713fca701b48""><code>655929c</code></a> chore: remove package-lock</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/49e08bbc32a84da5d79e6b7e0fa74ff6217f6d81""><code>49e08bb</code></a> chore: added an additional testcase</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/9f626935f3fac6ec0f3c4b26baea4eb9740d9645""><code>9f62693</code></a> fix: cve 2023-26115</li>
<li>Additional commits viewable in <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=word-wrap&package-manager=npm_and_yarn&previous-version=1.2.3&new-version=1.2.4)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/Picovoice/cheetah/network/alerts).

</details>"
Bump word-wrap from 1.2.3 to 1.2.4 in /binding/web,"Bumps [word-wrap](https://github.com/jonschlinkert/word-wrap) from 1.2.3 to 1.2.4.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/jonschlinkert/word-wrap/releases"">word-wrap's releases</a>.</em></p>
<blockquote>
<h2>1.2.4</h2>
<h2>What's Changed</h2>
<ul>
<li>Remove default indent by <a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li>🔒fix: CVE 2023 26115 (2) by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li>:lock: fix: CVE-2023-26115 by <a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
<li>chore: publish workflow by <a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/42"">jonschlinkert/word-wrap#42</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/mohd-akram""><code>@​mohd-akram</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/24"">jonschlinkert/word-wrap#24</a></li>
<li><a href=""https://github.com/OlafConijn""><code>@​OlafConijn</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/41"">jonschlinkert/word-wrap#41</a></li>
<li><a href=""https://github.com/aashutoshrathi""><code>@​aashutoshrathi</code></a> made their first contribution in <a href=""https://redirect.github.com/jonschlinkert/word-wrap/pull/33"">jonschlinkert/word-wrap#33</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/f64b188c7261d26b99e1e2075d6b12f21798e83a""><code>f64b188</code></a> run verb to generate README</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/03ea08256ba0c8e8b02b1b304f0f5bd2b1863207""><code>03ea082</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/42"">#42</a> from jonschlinkert/chore/publish-workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/420dce9a2412b21881202b73a3c34f0edc53cb2e""><code>420dce9</code></a> Merge pull request <a href=""https://redirect.github.com/jonschlinkert/word-wrap/issues/41"">#41</a> from jonschlinkert/fix/CVE-2023-26115-2</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/bfa694edf55bb84ff84512f13da6d68bf7593f06""><code>bfa694e</code></a> Update .github/workflows/publish.yml</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/ace0b3c78f81aaf43040bab3bc91d3c5546d3fd2""><code>ace0b3c</code></a> chore: bump version to 1.2.4</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/6fd727594676f3e1b196b08a320908bec2f4ca02""><code>6fd7275</code></a> chore: add publish workflow</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/30d6daf60fce429f5f559252fa86ee78200652c4""><code>30d6daf</code></a> chore: fix test</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/655929cabea6299dddf3b4a21fc3713fca701b48""><code>655929c</code></a> chore: remove package-lock</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/49e08bbc32a84da5d79e6b7e0fa74ff6217f6d81""><code>49e08bb</code></a> chore: added an additional testcase</li>
<li><a href=""https://github.com/jonschlinkert/word-wrap/commit/9f626935f3fac6ec0f3c4b26baea4eb9740d9645""><code>9f62693</code></a> fix: cve 2023-26115</li>
<li>Additional commits viewable in <a href=""https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=word-wrap&package-manager=npm_and_yarn&previous-version=1.2.3&new-version=1.2.4)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/Picovoice/cheetah/network/alerts).

</details>"
