title,body
3.16 实战Kaggle比赛：房价预测 np转成tensor会报错问题,"**bug描述**
![image](https://user-images.githubusercontent.com/66686828/234868676-6c91af76-9e9d-4d93-bcb2-8b22a5b0d32e.png)


**版本信息**
pytorch:1.8.0+cu111
torchvision:0.9.1+cu101
torchtext:0.9.0
...
"
3.5节fashion-mnist.ipynb下载FashionMNIST数据集太慢，有其他载入数据集的办法吗（jupyternotrbook）,"**bug描述**
3.5节fashion-mnist.ipynb下载FashionMNIST数据集太慢

"
现在pytorch的版本已经修改了很多东西希望能对内容进行更新,现在pytroch中对张量使用view方法后得到的张量和源张量不再共享内存了
Deprecated use of IPython.display.set_matplotlib_formats,"**bug描述**
![image](https://user-images.githubusercontent.com/41790869/158048679-88574e58-eea5-4f5a-a25b-47050b0402e7.png)
3.2.1部分代码
![image](https://user-images.githubusercontent.com/41790869/158048692-1c52cc91-8a11-4fe7-8397-094fd47fb1d4.png)


**版本信息**
pytorch:1.10.2
torchvision:
torchtext:
...
"
请问咱们这个pytorch版本有纸质版吗？,如题。觉得这本书写的挺好的，想多看看。
3.9节的net中是否要加入softmax,"这里在return时不需要softmax吗？

```python
def net(X):
    X = X.view((-1, num_inputs))
    H = relu(torch.matmul(X, W1) + b1)
    return torch.matmul(H, W2) + b2
```"
5.2节步幅内容错误,"**bug描述**
5.2节 关于步幅下的 pad的描述出错 应该是p = k - s

**版本信息**
pytorch:无
torchvision:无
torchtext:无
...
"
Dev,add a new word
5.6.2 AlexNet最后卷积层的输出大小应该为256*6*6,"**AlexNet最后卷积层的输出大小**

AlexNet最后卷积层的输出应该是256 * 6 * 6吧， (13 - 3) / 2 + 1 = 6

![image](https://user-images.githubusercontent.com/22441405/136881255-99bfaa72-3ff4-450e-9093-9a9d3acd413e.png)

我还没有训练，但是原文按照 256 * 5 * 5 来训练没问题吗？

**版本信息**
pytorch: 1.8.1
torchvision: 0.8.0
torchtext:
...
"
4.4.2 函数报错问题,"**bug描述**
描述一下你遇到的bug, 例如报错位置、报错信息（重要, 可以直接截个图）等
![image](https://user-images.githubusercontent.com/59960539/136193659-72ac2d3c-c7a3-4d4a-bc3c-0feea78a7dca.png)
![image](https://user-images.githubusercontent.com/59960539/136193734-6ba5d7fb-0161-468b-a681-6595fb3db4a6.png)
在1图中，使用的是MyDense()类，再2图中调用使用MyListDense()，是否应该改正
**版本信息**
pytorch:
torchvision:
torchtext:
...
"
10.7.2 torchtext 好像版本更新了，没有stoi属性，且换成新版本get_stoi依旧由于,"![image](https://user-images.githubusercontent.com/63043716/135760882-987cb76e-7a4a-404d-966b-b40c14749916.png)
报错原因在于，训练集中有些滤去的词不在vocab里，想询问一下，除了直接散去这些不在里面的词，还有什么更好的方法解决"
