title,body
About the inconsistency between 7scenes dataset pose and 7scenes gt sfm pose,"Thank you for such a great work and code.
However, I found that the pose given by the 7scenes dataset is somewhat different from the pose in 7scenes_sfm_triangulated. For example, for seq5/frame-000000.png, the rotation in the 7scenes dataset is (I use transpose to convert the rotation of c2w to w2c)：
![1681883595736](https://user-images.githubusercontent.com/26064261/232979231-9661fbd4-7a60-48cc-ab71-2cd84454c65a.png)
and in 7scenes_sfm_triangulated is:
![1681883645744](https://user-images.githubusercontent.com/26064261/232979373-a888c627-d976-4480-bea7-22ba8f8fd428.png)
Are the gt poses of 7scenes_sfm_triangulated more accurate?"
Can't download 7scenes_sfm_triangulated.zip,"Thank you for such a great work and code.
I download 7scenes_sfm_triangulated.zip using download.py and find that the downloaded zip was a bad file. Can you provide a download address?"
Checkpoint and dataset issue,"Hi, thanks for the awesome work!
When trying to run pixloc.download as described in the readme, I get teh following error:
subprocess.CalledProcessError: Command 'wget -r -np -nH -q --show-progress -R ""index.html*"" --cut-dirs 2 https://cvg-data.inf.ethz.ch/pixloc_CVPR2021/checkpoints/ -P C:{user}\pixloc\outputs\training -nc' returned non-zero exit status 1.

I seem to be able to access the files in a browser. 
Thanks in advance for any insights"
About colmap's scale proplem,"Hi, thanks for you amazing work!! 
I saw that when using the Cambridge dataset, the camera pose and point cloud are obtained from colmap, while the cambridge dataset was originally obtained from visualSFM. I compared the two files and found that the camera pose is not consistent. 
Whether there will be a scale that will lead to inaccurate evaluation results?"
some questions about your code in base_optimizer.py,"Hi, Thanks for your amazing work.
I have some questions about the Levenberg-Marquardt (LM) algorithm. In your code, grad after adding weight  is added belong the   3dpoint  number axis, I do not understand why and I could not find the corresponding expression in your paper. So can you explain  it in detail？ Thanks！
`

    def build_system(self, J: Tensor, res: Tensor, weights: Tensor):
        grad = torch.einsum('...ndi,...nd->...ni', J, res)   # ... x N x 6
        grad = weights[..., None] * grad
        grad = grad.sum(-2)  # ... x 6

        Hess = torch.einsum('...ijk,...ijl->...ikl', J, J)  # ... x N x 6 x 6
        Hess = weights[..., None, None] * Hess
        Hess = Hess.sum(-3)  # ... x 6 x6

        return grad, Hess
`"
CVE-2007-4559 Patch,"# Patching CVE-2007-4559

Hi, we are security researchers from the Advanced Research Center at [Trellix](https://www.trellix.com). We have began a campaign to patch a widespread bug named CVE-2007-4559. CVE-2007-4559 is a 15 year old bug in the Python tarfile package. By using extract() or extractall() on a tarfile object without sanitizing input, a maliciously crafted .tar file could perform a directory path traversal attack. We found at least one unsantized extractall() in your codebase and are providing a patch for you via pull request. The patch essentially checks to see if all tarfile members will be extracted safely and throws an exception otherwise. We encourage you to use this patch or your own solution to secure against CVE-2007-4559. Further technical information about the vulnerability can be found in this [blog](https://www.trellix.com/en-us/about/newsroom/stories/research/tarfile-exploiting-the-world.html).

If you have further questions you may contact us through this projects lead researcher [Kasimir Schulz](mailto:kasimir.schulz@trellix.com).
"
Some questions about trainning,"Hello, first of all about your work I think very excellent. I was recently reproducing your work when I was training the dataset megadepth on the server. I found that I always failed to achieve the results of your training logs. I just changed the batch_size=6,num_workers=8 to batch_size=12,num_workers=12. This makes me very confused and I hope I can get your answer. With best regards."
about the Graphics memory,"Hello, what is the maximum graphics memory usage during training? Which graphic card did you use in your experiment?"
can not change the encoder of UNet,"Hi, Thanks for your amazing work.
When retraining the model,I changed the encoder of UNet from vgg to resnet,the following error occurred.What is the reason?How to solve it?
![image](https://user-images.githubusercontent.com/101438423/178100725-ef092de6-817d-407d-a5a3-c73b7237fd2e.png)
"
With custom data,"Hi, thanks for your great work! I want to use pixloc to implement a localiazation task. 

I followed these steps:
> 1. I create my own datasets that I capture by my own camera. 
> 2. I use netvlad to create global descriptors. 
> 3. I use superpoint to create local descriptors. 
> 4. I use retrieval to create pairs.
> 5. Match the pairs use superglue. 
> 6. Follow the reconstruction to create a model--sfm_superpoint+superglue
> 7. Finally, I use the model to localize query image. 

Unfortunately, I can't achieve a precise result with pixloc. The SfM model looks well when I visualized in the COLMAP GUI and the estimated camera poses roughly correct. 
What should I do to improve it? 
"
