title,body
ValueError: largest specified index (9562.0 * stride=9562.0 * 1=9562) is larger than trajectory length ,"I have two trajectories:
**trajj=['strip_prod.dcd','strip_prod2.dcd']**; each trajectory file includes 4797 frames.
data = pyemma.coordinates.load(trajj, features=feat)
Then I did TICA and k-means clustering, and I would like to visualize the structure of each cluster using molPX.
**tica = pyemma.coordinates.tica(data,lag=8)
tica_concatenated = np.concatenate(tica.get_output())
data_sample, geoms = molpx.generate.sample(trajj, pdb, cluster,
                                     n_geom_samples=100,
                                     #keep_all_samples=True # read the doc for this argument
                                    )**
I got the error:
ValueError: largest specified index (9493.0 * stride=9493.0 * 1=9493) is larger than trajectory length 'strip_prod.dcd' = 4797

I was wondering where the specified index comes from and how to solve it. Thank you in advance!!"
AttributeError: 'Canvas' object has no attribute 'set_window_title',"I am trying to execute the following part in BPTI TICA example

```
mpx_wdg_box = molpx.visualize.FES(MD_list,
                                 #MD_trajfiles,
                                 top,
                                 Y_filenames,
                                 #Y,
                                 nbins=50,
                                 #proj_idxs=[1,2],
                                 proj_labels='TIC',
                                 #n_overlays=5,
                                )
mpx_wdg_box
```

However I am getting the following error

```
AttributeError                            Traceback (most recent call last)
Cell In [4], line 1
----> 1 mpx_wdg_box = molpx.visualize.FES(MD_list,
      2                                  #MD_trajfiles,
      3                                  top,
      4                                  Y_filenames,
      5                                  #Y,
      6                                  nbins=50,
      7                                  #proj_idxs=[1,2],
      8                                  proj_labels='TIC',
      9                                  #n_overlays=5,
     10                                 )
     11 mpx_wdg_box

```
```
File ~/opt/anaconda3/envs/msmbuilder2022/lib/python3.9/site-packages/molpx/visualize.py:218, in FES(MD_trajectories, MD_top, projected_trajectories, proj_idxs, nbins, n_sample, proj_stride, weights, proj_labels, n_overlays, atom_selection, **sample_kwargs)
    216 ngl_wdg._set_size(*['%fin' % inches for inches in ax.get_figure().get_size_inches()])
    217 ax.figure.tight_layout()
--> 218 axes_wdg.canvas.set_window_title(""FES"")
    219 outbox = _linkutils.MolPXHBox([ngl_wdg, axes_wdg.canvas])
    220 _linkutils.auto_append_these_mpx_attrs(outbox, geoms, ax, _plt.gcf(), ngl_wdg, axes_wdg, data_sample)

AttributeError: 'Canvas' object has no attribute 'set_window_title'
```

Is it some version problem? Any help will be highly appreciated?"
InvalidVersionSpecError: Invalid version spec: =2.7,"When trying to install molpx using 

``` conda install -n myenv molpx -c conda-forge ```

 I am met with the message 

``` 
Solving environment: failed

InvalidVersionSpecError: Invalid version spec: =2.7 
```

I also tried opening up a completely new environment in case I had some mismatching dependencies, but that resulted in the same message. I am on Linux, and have conda 4.5.11 and Python 3.6.13 installed. Happy to provide more information if that's needed!

conda info:

``` 
     active environment : linneaenv
    active env location : /home/user/.conda/envs/linneaenv
            shell level : 1
       user config file : /home/user/.condarc
 populated config files : /home/user/.condarc
          conda version : 4.5.11
    conda-build version : 3.15.1
         python version : 3.7.0.final.0
       base environment : /opt/scp/software/Anaconda3/5.3.0  (read only)
           channel URLs : https://repo.anaconda.com/pkgs/main/linux-64
                          https://repo.anaconda.com/pkgs/main/noarch
                          https://repo.anaconda.com/pkgs/free/linux-64
                          https://repo.anaconda.com/pkgs/free/noarch
                          https://repo.anaconda.com/pkgs/r/linux-64
                          https://repo.anaconda.com/pkgs/r/noarch
                          https://repo.anaconda.com/pkgs/pro/linux-64
                          https://repo.anaconda.com/pkgs/pro/noarch
          package cache : /opt/scp/software/Anaconda3/5.3.0/pkgs
                          /home/user/.conda/pkgs
       envs directories : /home/user/.conda/envs
                          /opt/scp/software/Anaconda3/5.3.0/envs
               platform : linux-64
             netrc file : None
           offline mode : False
```

I have had the same problem with other packages, but in that case it was enough to remove the conda-forge channel and add it again, with molpx this didn't work for me.
"
"Exploring the clustering in ""molPX and TICA with BPTI""","I am trying to link use the clustering as input as u declare in the tutorial **""molPX and TICA with BPTI""**, but it seems that x not defined here. 
# Plot clusters
plt.figure(figsize=(4,4))
plt.plot(clkmeans.clustercenters[:,0], clkmeans.clustercenters[:,1],' ok')
# FES as background is optional (change the bool to False)
if True:
    plt.contourf(x[:-1], y[:-1], -np.log(h.T), alpha=.50)

# Link the clusters positions with the molecular structures
linked_ngl_wdg = molpx.visualize.sample(data_sample,
                              geoms.superpose(geoms[0]),
                              plt.gca(),
                              clear_lines=False,
                              #plot_path=True
                            )
linked_ngl_wdg

<img width=""639"" alt=""Screen Shot 0003-03-13 at 9 45 55"" src=""https://user-images.githubusercontent.com/54627410/111013382-7b55cc00-83e2-11eb-9cb1-eac56ef2b619.png"">
"
Switching to an orthographic view of the structures,"Hello,

I was wondering if it is somehow possible to request an orthographic view of the structures displayed with `molpx.visualize.FES` for example.

I know this is possible with NGLView using something like :
```
view.camera = 'orthographic'
```
<http://nglviewer.org/nglview/latest/index.html?highlight=orthographic>

But I don't know if it is possible to somehow specify that option in molPX. 
If it is not implemented, I believe that would be a nice addition as the perspective view is very often misleading, especially when looking at neighbouring conformations on the FES.

Many thanks in advance!"
No structure displayed in the clustering section of example notebook 2.molPX_TICA_BPTI,"Hi,

I am using molPX 0.17 installed with anaconda on a Ubuntu computer. I have attached the results of conda_list [conda_list.txt](https://github.com/markovmodel/molPX/files/2034853/conda_list.txt).

I am trying to run the clustering section of the example notebook 2.molPX_TICA_BPTI

When I run the 'Plot clusters' and 'Link the clusters positions with the molecular structures' sections (last cell of the clustering. I do not see any structure, just the FES plot with the cluster centers and the crosshair. I am guessing form the command in the cell that I am supposed to see the structures.

I have attached a screenshot of the notebook: ![screenshot from 2018-05-24 11-02-14](https://user-images.githubusercontent.com/15257860/40479777-69fd9a8e-5f44-11e8-875d-bd60f27e4e9b.png). 
Note the warning message: 
``` 
/home/el14718/Software/anaconda3/lib/python3.6/site-packages/ipykernel_launcher.py:6:RuntimeWarning: divide by zero encountered in log
```

And the [Out] section: `(NGLWidget(count=5), <matplotlib.widgets.AxesWidget at 0x7fdfe3beaf60>)`

Note also that the only modification to the notebook is that I change the order of the import in the first cell following issue #43:
```
%matplotlib ipympl
from matplotlib import pylab as plt
import molpx
import pyemma
import numpy as np
```
Many thanks"
New Method visualize.contacts and extensive testing,
matplotlib backend ,Currently the user can only guess from the notebooks that he/she needs to use ipympl as matplotlib backend to get things working. We should consider using a context manager to temporarily set ipympl as backend and return to the users default. This would have the advantage of minimal interference and will not use a lot of memory for plots which are intended not to be interactive.
Enforce ipympl backend on import,fixed test execution within conda build. Fixes #44 
tests failing,"@marscher any idea? It was a problem with the coverage reporting, I remember we devoted some time to this but got nowhere..."
