title,body
xddd,orrrhan çocuğu facebook neferini durdurabileceğini mi sandın sil listeyi alihanını yerle bir ederim
"Remove ""Allah"" as a swearing!!!!","Remove ""Allah"" as a swearing!!!!"
Update karaliste.txt,
Kısa,
isterseniz inceleyin,ağır bir küfür farkındayım ama kullanan sayısı çok.
bilmem,repoyu incelerken kendimi gerçekten kötü hissettim. teşekkürler.
Update karaliste.json,Her kelime ayri satir. Boylelikle versiyon geçmişinde kelimeler daha rahat takip edilebilir.
"""Adana Küfürleri"" missing","Swearing to the sacred objects or concepts such as ""Allah"" or ""kitap"" is a known and rather frequent way of verbal offence in the southern province of Turkey called Adana. This list includes ""Allah"", but specifically ""kitap"" or ""kitabını"" are missing.
Hereby I declare that **I do not endorse such insults.**"
Bir oyundan çaldığım yasaklı küfürler,"ağzına veririm
ağzını yüzünü sikerim
Allah belanı versin
Allah cezanı versin
Allahını
amcık
amımı
amımızı
amına
amına koyarım
amını
amına koyarım
amını
amını sikerim
amınızı
ananı
ananı avradını
arsız
aşağılık
aşşağılık
aşşağılık kadın
aşağılık kadın
asarım keserim
ateşin başına vurdu
avradını
ayağa düşürürüm
azgın
bacaklarını kırarım
bacını
Boğazını kesecem
Boğazını
camış
çerçeveni dağıtırım
çirkin
çürük kadın
çürümüşsün
dağa kaldırırım
dümbüğün kızı
dümbük
eksik etek
eşşeoğlueşşek
eşşelueşşek
eteğine ettiğimin karısı
façanı aşağı alırım
gavur
gavurun dölü
genelev kadını
genelevlere düşesin
gerizekalı
göğüs
görgüsüz
götoğlanı
götdeliği
götdeliğini
Göt Oğlanı
Götoğlanı
Göt deliğini
Götdeliğini
Götume
Götümü
Götümüzü
Götune
Götunu
Götunü keserim
götünü sikerim
Götünüzü
götünden sikerim
Hayvan
Hıyar
ibne
imansız
Kafanı gözünü kıracam
Kafasız
Kahpe
Kaltak
Kaltak
Kancık
Kanı bozuk
Karnını deşerim
Kavatın kızı
Kimden peydahladın
Kızışmış
Komaya sokarım
Köpek
Kuş Beyinli
Malafat
Mamış
Mankafa
Manyak
Mezarına tükürmem
Mikrop
o.ç.
o.ç.
Oküz
P.K.K
Pandik
Pavyon karısı
Pavyona mı düşecen
Pezevenk
Piç
Pısırık
Puşt
Saçaklı
Salak
Salaklaşma
Sapık
şapşal
Seni çizerim
Seni döverim
Seni kötü yola düşürecem
Seni öldürecem
Seni oyle bir döverim ki annen bile tanımaz
Seni takip ettirecem
Seni Türkiye’ye rezil edeceğim
Seni vuracam
şerefsiz
şeyin başına vurdu
Sıçar
Sıçarım
Sıçarız
Sıçarlar
Sıçarsın
Sıçarsınız
Sıçmak
Sik Kafalı
sikilmiş
Sikimi
Sikiş
Sikişgen
Sikişmek
Siktiğim
Siktiğim
şırfıntı
şirret
Sokak sürtüğü
Sokarım
Soysuz
Sülaleni
Sümüklü
Süprüntü
Sürtük
Sütü Bozuk
Lan
Ulan
Ulan karı
Uyuz
Vajina
Ya çık git ya intihar et
Yakalarsam seni satacam
Yalarım
Yamuk kadın
Yarrak
Yavşak
Yer cücesi
Yeteneksiz
Yosma
Yüzüne kezzap atarım
pavyon
genelev
eşekoğlueşek
eşek
eşşek
öküz
mal
PKK
DHKPC
Orospu Çocuğu
Orospu cocugu
amın oğlu
sikko
at yarrağı
yarrak kafalı
yarrak ye
yarrak surat
sik kafa
am biti
suratını sikeyim
sikiyim
anan
a.k
a.q
Abaza
Abazan
Agzina veririm
agzini yuzunu sikerim
Allah belani versin
Allah cezani versin
Allahini
Am Biti
Ambiti
Amcik
amcik
Amimi
Amimizi
Amina
Amina koyarim
Amini
Amini sikerim
Aminizi
Anani
Anani avradini
Angut
Anneni
Aptal
aq
Arsiz
Asagilik
Asagilik kadin
Atesin basina vurdu
Avanak
Avradini
Ayaga dusururum
Azgin
Bacaklarini kirarim
Bacini
Bakire
Beyinsiz
Bilgisiz
Bogazini kesecem
Bok
bok
cahil
Cahil
Camis
Camiz
cerceveni dagitirim
cirkin
curuk kadin
curumussun
Daga kaldiririm
Dallama
Dancuk
Dangalak
Davar
Deli
Dillerim
Dingil
Dinsiz
Domuz
Dumbugun kizi
Dumbuk
Dumbuk
Eksik etek
Elimde kalirsin
essekogluessek
essolesek
Etegine ettigimin karisi
Facani asagi alirim
Fahise
Fettan
Fettan
Gavurun dolu
geber
Genelev
Genelev kadini
Genelevlere dusesin
Geri zekali
gerizekali
Gogus
Gorgusuz
Got Oglani
Gotoglani
Got deligini
Gotdeligini
Gotume
Gotumu
Gotumuzu
Gotune
Gotunu
Gotunu keserim
gotunu sikerim
Gotunuzu
götünden sikerim
Hayvan
Hiyar
ibne
imansiz
Kafani gozunu kiracam
Kafasiz
Kahpe
Kahpe yapacam sizi
Kaltak
Kaltak
Kancik
Kani bozuk
Karnini deserim
Kavatin kizi
Kic
Kimden peydahladin
Kizismis
Komaya sokarim
Kopek
kro
Kuku
Kuru
Kus Beyinli
Malafat
Mamis
Mankafa
Manyak
Mezarina tukurmem
Mikrop
o.c.
Oc
o.ç.
oç
Okuz
Orospu
P.K.K
Pandik
Pavyon karisi
Pavyona mi dusecen
Pezevenk
Pic
Piç
Pipi
Pisirik
Pislik
PKK
Popo
Psikopat
Pust
Sacakli
Salak
Salaklasma
Sapik
sapsal
Seni cizerim
Seni doverim
Seni kim naapsin
Seni kotu yola dusurecem
Seni oldurecem
Seni oyle bir doverim ki annen bile tanimaz
Seni takip ettirecem
Seni Turkiye’ye rezil edecegim
Seni vuracam
serefsiz
seyin basina vurdu
Sicar
Sicarim
Sicariz
Sicarlar
Sicarsin
Sicarsiniz
Sicmak
Sik Kafali
Siker
Sikerim
Sikeriz
Sikerler
Sikersin
Sikersiniz
sikilmis
Sikimi
Sikis
Sikisgen
Sikismek
Sikmek
Siktigim
Siktim
Siktir
sirfinti
sirret
Sokak surtugu
Sokarim
Soktum
Soysuz
Sulaleni
Sülaleni
Sumuklu
Supruntu
Surtuk
Sutu Bozuk
travesti
Ulan
Ulan kari
Uyuz
Vajina
Ya cik git ya intihar et
Yakalarsam seni satacam
Yalaka
Yalama
Yalarim
Yamuk kadin
Yarrak
Yavsak
Yer cucesi
Yeteneksiz
Yosma
Yuzune kezzap atarim"
fix unicode char for json file,fix unicode char for json file
orospu,"orospu için daha farklı kelimelerin engellemesi gerektiğini düşünüyorum hocam.
mesela orrrospu ve orrrrrrrrrrospu gibi bunun alternatifleri yazılmalı diye düşünüyorum "
Allah ve Allahsiz,"Dindar ya da inancli bir insan degilim. Yani issue acma nedenim tamamen teknik. 

allah'in kufur kara listesinde olmasi normal degil gibi geliyor ya da allahsiz.

Diger yandan, allahsiz kufur olarak kabul edilmiyor.

Samimi birisine soylendigi gibi ""vicdansiz, insafsiz ve acimasiz"" anlamlarini da barindiriyor.

Olusabilecek temel problemler:

y**allah** arabistana

Allahsız ise argo sozlukte yer aliyor ancak kufur olarak gecmiyor. Bazen arkadasiniza **allahsiza bak yedi bitirdi butun yemegi** gibi bir cumle olusturulabilir.

Tesekkurler is gorur :)"
Update karaliste.json,
Update karaliste.txt,
json formati eklendi,
