library,function,line,file,logging_type
logging.debug,logging.debug,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\parse_args.py,Python logging
logging.debug,logging.debug,79,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\parse_args.py,Python logging
logging.debug,logging.debug,25,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\utils.py,Python logging
logging.info,logging.info,124,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py,Python logging
logging.exception,logging.exception,135,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py,Python logging
logging.exception,logging.exception,141,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py,Python logging
logging.debug,logging.debug,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\parse_args.py,Python logging
logging.debug,logging.debug,79,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\parse_args.py,Python logging
logging.debug,logging.debug,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\utils.py,Python logging
logging.info,logging.info,30,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\java\io\hadoop\jdk1.8-tests\src\test\resources\kubernetes\elasticsearch\es_test_data.py,Python logging
logging.info,logging.info,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\java\io\hadoop\jdk1.8-tests\src\test\resources\kubernetes\elasticsearch\es_test_data.py,Python logging
logging.info,logging.info,52,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\java\io\hadoop\jdk1.8-tests\src\test\resources\kubernetes\elasticsearch\es_test_data.py,Python logging
