Repos,Stars,commits,Contributors,Size
NBNARADHYA/bosch-inter-iit,1,51,5,7632
dapivei/data-product-architecture-final-project,1,396,6,9952
abnormal-distribution/AC295_abnormal-distribution,1,161,5,42889
ArquitecturaProductoDatos7/Diseno_producto_de_datos-,1,477,4,5386
hanbo-e/wimlds_emissions,1,159,3,2608
Casualty-Challenge/Breast_Cancer_Causality_Inference,1,80,4,5271
safronovD/python-pravega-writer,1,593,3,2000
SalatielBairros/world-happiness-report,1,143,2,115328
dpa-2020-equipo-5/dpa-2020,1,307,6,4965
arguz95/Project_ML2,1,154,6,9280
MI2-Education/2021L-WB-ML,1,118,12,81953
basisai/credit-risk,1,107,5,2562
ding-lab/pollock,1,197,1,1813
lechugaa/dpa-project,1,204,4,3860
Practicum-Team-2/LungCancerClassifier,1,89,7,7860
georgetown-analytics/Yelp-Ratings,1,139,5,28053
thisisfine-046/audio,1,176,3,1061122
Valentyn1997/meme,1,138,4,44695
alandu20/spac,1,210,3,134003
mslovett21/Bad_Press,2,227,3,41393
peterhurford/mystery_machine_learning,2,121,3,13503
georgetown-analytics/Loan-Canoe,2,348,4,28053
HamoyeHQ/stage-f-07-heart-failure,2,70,11,6998
johnzl-777/MFAC,2,157,4,10510
leestott/ResponsibleAI,2,52,1,14691
rodolphoya/dscbc_2021_01-fakenews,2,283,5,41783
Millan13/dpa_equipo2,3,522,6,3624
collab-uniba/PH_miner,3,320,5,4468
sbuergers/sustainable-recipe-recommender,3,142,2,4845
mrksbrg/SE-Achievements,3,490,3,191942
georgetown-analytics/Kiva,3,118,5,28053
qemtek/football_trading,3,248,1,3076
lab156/arxivDownload,3,631,1,934613
claudianopl/heart-disease-data-analysis,3,50,4,791
senane/ADELPHI,3,73,3,9523
georgetown-analytics/Spotify,3,157,5,28053
eubr-bigsea/juicer,4,1790,15,57303
yash12khandelwal/traffic_sign_interiit,4,141,12,264748
jlrzarcor/ITAM-dpa2021,4,592,4,3142
conrad-blucher-institute/FogNet,4,51,2,5409
jonas-nothnagel/NLP-Project-Documents,4,86,2,22749
a0x8o/drill,5,334,1,93958
georgetown-analytics/classroom-occupancy,5,77,6,28053
FranzMichaelFrank/health_eu,5,86,1,1774
MrinalJain17/CT-image-segmentation,6,119,2,2530
ValaryLim/lynx-blockchain-risk-scoring,6,183,4,5221
terminalai/GaitMonitoringForParkinsonsDiseasePatients,6,967,1,39733
TeamHG-Memex/hh-page-classifier,6,191,2,208420
SilentStars/TEDTalksDataMining,6,88,4,28260
m3ttiw/orange_cb_recsys,8,1099,5,40427
bcaitech1/p3-dst-chatting-day,8,92,5,47129
Call-for-Code-for-Racial-Justice/bias-detection-engine,8,187,11,50637
ocelotconsulting/customer_segmentation,8,68,1,694
OmdenaAI/omdena-colombia-career-recommender-system,9,142,14,21582
swapUniba/ClayRS,10,946,7,66346
HudsonAlpha/VarSight,10,56,1,7696
felixpeters/lung-cancer-detection,10,137,1,3297
XAI-Demonstrator/xai-demonstrator,11,1620,8,103701
druce/iowa,11,83,1,6817
Code4SA/mma-dexter,17,1521,5,22656
JavierLopatin/Python-Remote-Sensing-Scripts,29,179,1,2315
EvgenyKashin/CommentsAnalysis,29,79,3,4012
GeoscienceAustralia/uncover-ml,31,2400,13,11693
dylan-slack/TalkToModel,42,55,1,7885
demisto/dockerfiles,44,7161,131,10786
awesomeahi95/Hotel_Review_NLP,51,112,1,1082
TeamHG-Memex/soft404,52,110,4,208420
EducationalTestingService/rsmtool,59,2499,11,174675
joel-simon/Antimander,65,83,2,20269
gbencke/pyAstroTrader,71,114,1,1638
TeamHG-Memex/autopager,75,56,3,208420
arnaudmiribel/streamlit-extras,102,313,8,3150
deepchem/deepchem,3985,7999,146,78180
JYVSECTEC/PHR-model,59,142,6,2931
Substra/substra-examples,9,67,3,3287
leoalexand/aws-ds-NLP-BERT,1,2695,10,760661
netsharecmu/NetShare,34,84,3,8496
gretelai/gretel-synthetics,363,269,21,13720
PrivPkt/PrivPkt,80,58,3,1133
NigeloYang/federated_learning_differential_privacy,6,59,1,22062
woodyx218/Deep-Learning-with-GDP-Tensorflow,40,53,2,1452
riku1212/dp-tsc-baseline,1,286,26,12471
vijay-khanna/data-science-on-aws-sagemaker,1,2632,9,755796
sifis-home/analytics-toolbox,1,77,3,7257
bargavj/EvaluatingDPML,115,247,6,3548
ChubaOraka/data-science-on-aws-workshop-2021-05-15,2,2912,11,804082
ChubaOraka/data-science-on-aws-workshop-2021-06-28,1,2986,11,806082
barreira/lei-1819,10,92,3,1513
woodyx218/opacus_global_clipping,13,290,28,1452
bargavj/EvaluatingDPML,115,247,6,3548
eunbeejang/privacy-fairness-tradeoffs,1,53,1,1372
wyshi/lm_privacy,7,289,3,103950
simontkl/torch-vantage6,1,135,1,1137
sisaman/GAP,16,533,2,4333
gkaissis/PriMIA,114,299,6,27645
FarrandTom/deep-learning-fairness,7,120,4,7668
hitimr/ML_2020,1,241,3,8436
parkbeomsik/opacus-fusion,1,710,2,64940
msai-amin/DP-FL,1,244,1,10436
dkober123/sample_apps,10,2602,30,217919
MisaNguyen/DPSGD,2,103,1,257021
intel/openfl,3,55,2,38520
