library,function,line,file
logging.debug,logging.debug,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\parse_args.py
logging.info,logging.info,124,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py
logging.exception,logging.exception,135,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py
logging.error,logging.error,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\java\io\hadoop\jdk1.8-tests\src\test\resources\kubernetes\elasticsearch\es_test_data.py
logging.warning,logging.warning,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\protorpclite\protojson.py
logging.warn,logging.warn,336,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\service_registry.py
flask.current_app.logger.exception,current_app.logger.exception,402,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\oauth2client\contrib\flask_util.py
flask.current_app.logger.error,current_app.logger.error,448,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\oauth2client\contrib\flask_util.py
logging.log,renamed_logging.log,13,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py
oauth2client.contrib.locked_file.logger.warn,locked_file.logger.warn,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\oauth2client\contrib\_fcntl_opener.py
logging.fatal,logging.fatal,441,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\internal\apiclient.py
torch.utils.tensorboard.SummaryWriter,SummaryWriter,357,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a8252525\DP_FL_recreation\DP_FL_recreate\F_DPAGD_alltoGPU.py
tensorboardX.SummaryWriter,SummaryWriter,263,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\AdamWei-boop\Federated-Learning-with-Local-Differential-Privacy\Fed_NN.py
mlflow.sklearn.lightgbm.autolog,mlflow.lightgbm.autolog,661,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
mlflow.sklearn.start_run,mlflow.start_run,662,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
mlflow.sklearn.log_params,mlflow.log_params,667,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
mlflow.sklearn.log_metric,mlflow.log_metric,672,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
mlflow.search_runs,mlflow.search_runs,689,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
mlflow.sklearn.sklearn.log_model,mlflow.sklearn.log_model,286,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated03311.py
mlflow.sklearn.active_run,mlflow.active_run,287,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated03311.py
absl.logging.warning,logging.warning,25,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\Astrmeteor\FL_GAN\VAE\dp_optimizer_vectorized.py
tensorboard.compat.proto.attr_value_pb2.AttrValue,AttrValue,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\Bhavishrg\Ruffle\cryptenLocal\nn\tensorboard.py
tensorboard.compat.proto.versions_pb2.VersionDef,VersionDef,64,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\Bhavishrg\Ruffle\cryptenLocal\nn\tensorboard.py
utils.log_utils.create_logger,create_logger,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\cleverhans-lab\private-multi-winner-voting\capc\client.py
fedscale.core.fllibs.logging.info,logging.info,36,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\continue-revolution\fedscale-experiment\examples\heterofl\customized_client.py
tensorflow.logging.info,tf.logging.info,332,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\07_train\archive\bert\src_bert_tf\amazon_run_classifier.py
tensorflow.compat.v1.python.platform.tf_logging.warning,logging.warning,227,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\bolt_on\losses.py
absl.logging.info,logging.info,73,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py
tensorflow_privacy.privacy.membership_inference_attack.utils_tensorboard.write_results_to_tensorboard,write_results_to_tensorboard,94,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py
dllogger.log,dllogger.log,507,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\08_optimize\distributed-training\pytorch\model_parallel\bert\bert_example\sagemaker_smp_pretrain.py
rl_coach.logger.screen.warning,screen.warning,123,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\09_deploy\common\sagemaker_rl\coach_launcher.py
orchestrator.utils.cloudwatch_logger.CloudWatchLogger,CloudWatchLogger,708,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\09_deploy\common\sagemaker_rl\orchestrator\workflow\manager\experiment_manager.py
tensorflow.logging.warning,tf.logging.warning,16,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\optimizers\dp_optimizer.py
wandb.termwarn,wandb.termwarn,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\keras_model.py
torch.utils.tensorboard.device,torch.device,196,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
