Repos,config,created_at,Responsable_AI_principles,stars,Number of Commits,contrib,language,description
NBNARADHYA/bosch-inter-iit,captum,2021-03-10T17:05:43Z,Transparency & Explainability,1,51,5,Jupyter Notebook,"Vehicle automation use-case to help vehicles better identify traffic signs. Features include data-set creation UI to allow users to add a series of augmentations to uploaded images and add to the dataset, post evaluation UI to allow users to get insights about model failure by providing metrics, top 5 confidence class, wrongly predicted images, class wise curves, confusion matrix, heatmaps etc."
dapivei/data-product-architecture-final-project,aequitas,2020-01-22T07:07:37Z,Fairness,1,396,6,Jupyter Notebook,"Contiene la presentación del proyecto de datos realizado a propósito de la materia ""Data Product Architecture"": 1) Producto de datos funcional: Video de corrida final del producto de datos; 2)  Presentación de ""front""; 3) Entrega de documento final en repositorio; 4) Último commit del proyecto"
abnormal-distribution/AC295_abnormal-distribution,captum,2020-09-28T10:06:54Z,Transparency & Explainability,1,161,5,Jupyter Notebook,nan
ArquitecturaProductoDatos7/Diseno_producto_de_datos-,aequitas,2020-02-12T02:27:28Z,Fairness,1,477,4,Jupyter Notebook,Diseño del producto de datos
hanbo-e/wimlds_emissions,explainerdashboard,2021-04-13T11:08:16Z,Transparency & Explainability,1,159,3,Jupyter Notebook,A team project mentored by WiMLDS predicting which cars should be taken off the road using emissions data.
Casualty-Challenge/Breast_Cancer_Causality_Inference,dowhy,2021-08-24T09:20:20Z,Transparency & Explainability,1,80,4,Jupyter Notebook,"A causal graph is a central object in the framework, but it is often unknown, subject to personal knowledge and bias, or loosely connected to the available data. The main objective of the task is to highlight the importance of the matter in a concrete way."
safronovD/python-pravega-writer,eli5,2020-04-05T09:52:34Z,Transparency & Explainability,1,593,3,Python,Demo ML-application using Pravega in k8s
SalatielBairros/world-happiness-report,eli5,2022-02-28T16:20:27Z,Transparency & Explainability,1,143,2,HTML,Um modelo de regressão do nível de felicidade no mundo.
dpa-2020-equipo-5/dpa-2020,aequitas,2020-02-11T04:49:37Z,Fairness,1,307,6,Jupyter Notebook,Arquitectura de productos de datos - ITAM 2020
arguz95/Project_ML2,fairml,2021-03-15T14:58:13Z,Fairness,1,154,6,Jupyter Notebook,"This is the final project for INSY695 - Enterprise Data Science and ML in Production II - Arnaud, Jules, Ram, Dorothy and Rameez"
MI2-Education/2021L-WB-ML,dalex,2021-02-11T21:53:22Z,Transparency & Explainability,1,118,12,Jupyter Notebook,⚙️ Case Study course for DS studies in Spring 2020/21
