library,function,line,file
facets_overview.generic_feature_statistics_generator.GenericFeatureStatisticsGenerator,GenericFeatureStatisticsGenerator,220,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\apache_beam\runners\interactive\display\pcoll_visualization.py
numpy.reshape,np.reshape,35,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation1_Abnormal-Distribution\code\MTrick.py
numpy.reshape,np.reshape,75,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation1_Abnormal-Distribution\code\Presentation1.py
numpy.reshape,np.reshape,76,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation1_Abnormal-Distribution\code\Presentation1.py
tensorflow.reshape,tf.reshape,70,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation2_Abnormal-Distribution\code\model.py
tensorflow.reshape,tf.reshape,72,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation2_Abnormal-Distribution\code\model.py
tensorflow.reshape,tf.reshape,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation2_Abnormal-Distribution\code\model.py
tensorflow.reshape,tf.reshape,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation2_Abnormal-Distribution\code\model.py
tensorflow.shape,tf.shape,131,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation2_Abnormal-Distribution\code\model.py
tensorflow.shape,tf.shape,187,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\presentation2_Abnormal-Distribution\code\model.py
captum.attr.LayerIntegratedGradients,LayerIntegratedGradients,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
captum.attr.visualization.VisualizationDataRecord,viz.VisualizationDataRecord,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
captum.attr.visualization.visualize_text,viz.visualize_text,106,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,419,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\.ipynb_checkpoints\Final_project_updated-checkpoint.py
fairml.audit_model,audit_model,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\FairML.py
fairml.plot_dependencies,plot_dependencies,53,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\FairML.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,446,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_Model.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,433,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_project_updated.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,472,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Final_project_updated_Encodings.py
fairml.audit_model,audit_model,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\FairML.py
fairml.plot_dependencies,plot_dependencies,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\FairML.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,525,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_Model.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,508,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated.py
yellowbrick.features.pca.PCADecomposition,PCADecomposition,553,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\arguz95\Project_ML2\Unit_Test\Final_project_updated_Encodings.py
aequitas.bias.Bias,Bias,28,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\funciones_bias.py
funciones_bias.MetricasBiasFairness,funciones_bias.MetricasBiasFairness,1555,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\modelado_pipeline.py
pyspark.mllib.util.MLUtils.appendBias,MLUtils.appendBias,1617,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\06_prepare\wip\spark\spark-2.4.6-bin-without-hadoop\python\pyspark\mllib\tests.py
pyspark.mllib.util.MLUtils.appendBias,MLUtils.appendBias,1623,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\06_prepare\wip\spark\spark-2.4.6-bin-without-hadoop\python\pyspark\mllib\tests.py
pyspark.mllib.util.MLUtils.appendBias,MLUtils.appendBias,1631,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\06_prepare\wip\spark\spark-2.4.6-bin-without-hadoop\python\pyspark\mllib\tests.py
tensorflow.shape,tf.shape,528,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\bert\src_bert_tf\amazon_run_classifier.py
sagemaker.clarify.BiasConfig,clarify.BiasConfig,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\Clarify-JSONlines.py
