library,function,class,line,file,parent_function
tensorflow_privacy.privacy.optimizers.dp_optimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,,70,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py,nn_model_fn
tensorflow_privacy.privacy.optimizers.dp_optimizer,dp_optimizer.DPAdamGaussianOptimizer,,74,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py,nn_model_fn
tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,,35,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_test.py,test_compute_dp_sgd_privacy
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,87,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py,__init__
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,93,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py,__init__
tensorflow_privacy.privacy.analysis.privacy_ledger,privacy_ledger.PrivacyLedger,,36,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_fail_on_probability_zero
tensorflow_privacy.privacy.analysis.privacy_ledger,privacy_ledger.PrivacyLedger,,39,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_basic
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_sum_query
tensorflow_privacy.privacy.analysis.privacy_ledger,privacy_ledger.QueryWithLedger,,62,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_sum_query
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_sum_query
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,80,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_sum_query
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,96,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_nested_query
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,98,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_nested_query
tensorflow_privacy.privacy.dp_query.nested_query,nested_query.NestedQuery,,101,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_nested_query
tensorflow_privacy.privacy.analysis.privacy_ledger,privacy_ledger.QueryWithLedger,,102,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_nested_query
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,111,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_nested_query
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,123,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,test_nested_query
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_heterogenous_rdp,,88,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_heterogeneous_rdp_different_sampling_probabilities
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,94,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_no_data
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,98,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_no_sampling
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,101,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_scalar
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,105,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_sequence
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant._compute_log_a,,127,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_log_a_equals_mp
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,133,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_get_privacy_spent_check_target_delta
