library,function,line,file
logging.basicConfig,logging.basicConfig,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\parse_args.py
logging.debug,logging.debug,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\parse_args.py
logging.debug,logging.debug,79,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\parse_args.py
logging.debug,logging.debug,25,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\build\ci\fbcode_builder\utils.py
logging.getLogger,logging.getLogger,10,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\bistro\py\query.py
logging.Handler.__init__,logging.Handler.__init__,412,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\CMake\fb_py_test_main.py
logging.Formatter,logging.Formatter,606,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\CMake\fb_py_test_main.py
logging.getLogger,logging.getLogger,609,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\CMake\fb_py_test_main.py
logging.getLogger,logging.getLogger,637,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\CMake\fb_py_test_main.py
logging.info,logging.info,124,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py
logging.exception,logging.exception,135,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py
logging.exception,logging.exception,141,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\docker_builder.py
logging.basicConfig,logging.basicConfig,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\parse_args.py
logging.debug,logging.debug,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\parse_args.py
logging.debug,logging.debug,79,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\parse_args.py
logging.debug,logging.debug,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\build\fbcode_builder\utils.py
logging.info,logging.info,30,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\java\io\hadoop\jdk1.8-tests\src\test\resources\kubernetes\elasticsearch\es_test_data.py
