library,function,line,file
tensorflow.compat.v1.reshape,tf.reshape,48,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\classifier.py
tensorflow.compat.v1.reshape,tf.reshape,56,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\classifier.py
tensorflow.compat.v1.reshape,tf.reshape,72,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\classifier.py
core.privacy_accountant.accountant,accountant,92,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\classifier.py
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,99,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\classifier.py
tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\privacy_accountant.py
tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,111,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj\EvaluatingDPML\core\privacy_accountant.py
aix360.algorithms.rbm.FeatureBinarizer,FeatureBinarizer,44,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-aix360-heart\modeling.py
aix360.algorithms.rbm.LogisticRuleRegression,LogisticRuleRegression,48,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-aix360-heart\modeling.py
shape_utils.shapes_to_mask,shape_utils.shapes_to_mask,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-image-segmentation\shapes_to_segmentations.py
shapes_to_segmentations.label_to_colors,shapes_to_segmentations.label_to_colors,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-image-segmentation\use_ml_image_segmentation_classifier.py
shapes_to_segmentations.blend_image_and_classified_regions,shapes_to_segmentations.blend_image_and_classified_regions,74,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-image-segmentation\use_ml_image_segmentation_classifier.py
tensorflow.reshape,tf.reshape,49,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-live-model-training\examples\cifar_deep_modified.py
tensorflow.reshape,tf.reshape,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-live-model-training\examples\cifar_deep_modified.py
tensorflow.reshape,tf.reshape,40,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-live-model-training\examples\mnist_deep_modified.py
tensorflow.reshape,tf.reshape,63,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-live-model-training\examples\mnist_deep_modified.py
numpy.reshape,np.reshape,662,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-object-detection\utils\visualization_utils.py
pysal.queen_from_shapefile,ps.queen_from_shapefile,97,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123\sample_apps\apps\dash-spatial-clustering\helpers.py
opacus.PrivacyEngine,PrivacyEngine,200,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\eunbeejang\privacy-fairness-tradeoffs\main.py
tfcode.rdp_accountant.get_privacy_spent,get_privacy_spent,48,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\compute_dp_sgd_privacy.py
compute_dp_sgd_privacy.apply_dp_sgd_analysis,apply_dp_sgd_analysis,85,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\helper.py
privacy_engine.PrivacyEngine,PrivacyEngine,227,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\mnist.py
privacy_analysis.compute_rdp,tf_privacy.compute_rdp,208,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\privacy_engine.py
privacy_analysis.get_privacy_spent,tf_privacy.get_privacy_spent,237,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\privacy_engine.py
opacus.privacy_analysis.compute_rdp,tf_privacy.compute_rdp,62,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\scripts\compute_dp_sgd_privacy.py
opacus.privacy_analysis.get_privacy_spent,tf_privacy.get_privacy_spent,63,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\scripts\compute_dp_sgd_privacy.py
opacus.dp_model_inspector.DPModelInspector,DPModelInspector,32,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.dp_model_inspector.DPModelInspector,DPModelInspector,38,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.privacy_analysis.compute_rdp,privacy_analysis.compute_rdp,57,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.privacy_analysis.get_privacy_spent,privacy_analysis.get_privacy_spent,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.PrivacyEngine,PrivacyEngine,69,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.PrivacyEngine,PrivacyEngine,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.PrivacyEngine,PrivacyEngine,116,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.layers.dp_multihead_attention.SequenceBias,SequenceBias,139,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.module_inspection.ModelInspector,ModelInspector,147,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.module_modification.replace_all_modules,replace_all_modules,159,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
